Company Name,Street Address 1,Street Address 2,City,State,Zip Code,Country,Industries,Team Member 1,Team Member 2,Team Member 3,Team Member 4,Team Member 5
L Catterton,599 W Putnam Ave,,Greenwich,CT,6830,US,"Leisure Facilities, Restaurants, Specialized Consumer Services, Health Care Services, Apparel Retail, Food Retail, Internet Retail, Consumer Electronics, Home Furnishings, Housewares & Specialties, Apparel, Accessories & Luxury Goods, Household Products, Personal Products, Packaged Foods & Meats",Harry Fackelmayer,Kitty Arenz,Alice Lee,Jon Owsley,Ransley Carpio
Highview Capital,"11755 Wilshire Blvd, Suite 1400",,Los Angeles,CA,90025,US,"Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Paper Products, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Railroads, Trucking, Airport Services, Highways & Railtracks, Third Party Logistics (3PL), Food Distributors, Technology Distributors, Air Freight & Logistics, Trucking, Health Care Distributors, Retail Distributors, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Apparel, Accessories & Luxury Goods, Textiles, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Aluminum Products, Steel Products, Health Care Equipment, Health Care Distributors, Household Products, Personal Products, Agricultural Products, Packaged Foods & Meats, Auto Parts & Accessories",Misha Polovneff,Krysty Penwell,Zepher Loesch,Brice Baradel,
Rockbridge Growth Equity,"1555 Broadway Street, 4th Floor",,Detroit,MI,48226,US,,Mobeen Kambod,Victor Lu,Ziv Weizman,Clay Behrman,Steve Linden
"Eureka Equity Partners, L.P.","1717 Arch Street, 34th Floor",,Philadelphia,PA,19103,US,"Real Estate Services, Third Party Logistics (3PL), Food Distributors, Air Freight & Logistics, Health Care Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, IT Consulting & Other Services, Leisure Facilities, Education Services, Specialized Consumer Services, Integrated Telecommunication Services, Wireless Telecommunication Services, Digital & Social Media, Movies & Entertainment, Publishing, Advertising, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Technology, Specialty Chemicals, Diversified Chemicals, Metal, Glass & Plastic Containers, Paper Packaging, Systems Software, Home Entertainment Software, Health Care Technology, Building Products, Electrical Components & Equipment, Industrial Conglomerates, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Communications Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airport Services, Highways & Railtracks, Auto Parts & Accessories, Consumer Electronics, Home Furnishings, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Household Products, Personal Products",Brendan Stancato,Tassie Oswald,Travis Foltz,Jonathan Chou,T.J. Haas
Halifax Group,"1133 Connecticut Avenue, NW, Suite 300","3605 Glenwood Avenue, Suite 490",Washington,DC,20036,US,"Trading Companies & Distributors, Third Party Logistics (3PL), Air Freight & Logistics, Railroads, Trucking, Airport Services, Alternative Energy Distribution, Oil & Gas Equipment & Services, Oil & Gas Storage & Transportation, Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Trucking, Health Care Distributors, Retail Distributors, Health Care Equipment, Health Care Supplies, Health Care Technology, Data Processing & Outsourced Services, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Restaurants, Education Services, Wireless Telecommunication Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Agricultural Products, Packaged Foods & Meats, Biotechnology, Pharmaceuticals, Life Sciences Tools & Services, Nutraceuticals",Ryan Richardson,Chris Cathcart,Alessandra Christiani,William Digges,Gray Jones
Martis Capital,"101 California Street, Suite 3260","2020 K Street NW, Suite 720",San Francisco,CA,94111,US,"Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology",Alec Zwaneveld,Graham Garzon,Barry Uphoff,Aabed Meer,Shahab Vagefi
Artemis Capital Partners ,"160 Federal St, 23rd Floor",,Boston,MA,2110,US,"Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Aerospace & Defense, Building Products, Electrical Components & Equipment, Industrial Conglomerates, Industrial Machinery & Equipment, Electrical Components & Equipment, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Semiconductor Equipment , Semiconductors, Communications Equipment, Health Care Equipment, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Industrial Machinery & Equipment, Electronic Manufacturing Services, Health Care Equipment, Health Care Supplies, Biotechnology, Life Sciences Tools & Services",Amanda Garrow,James Ward,Charles Petty,Euan Milne,Jesse Moran
Mangrove Equity Partners,101 South Franklin Street Suite 205,,Tampa,FL,33602,US,"Aerospace & Defense, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Machinery & Equipment, Safety Equipment, Airport Services, Highways & Railtracks, Marine Ports & Services, Oil & Gas Equipment & Services, Aerospace & Defense, Heavy Electrical Equipment, Industrial Machinery & Equipment, Electronic Manufacturing Services, Health Care Equipment, Personal Products, Auto Parts & Accessories, Health Care Supplies, Safety Equipment, Environmental & Facilities Services, Diversified Support Services, Security & Alarm Services, Airport Services, Marine Ports & Services, Specialty Chemicals, Specialized Consumer Services, Leisure Products, Personal Products, Brewers, Auto Parts & Accessories",Lea Graziano-Bann,David Fowles,Katie Faircloth,Kyle Wright,Whit Webster
Charter Oak Equity,"10 Wright Street, Suite 210",,Westport,CT,6880,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Oil & Gas Equipment & Services, Food Distributors, Trading Companies & Distributors, Air Freight & Logistics, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Electrical Components & Equipment, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, Forest Products, Paper Products, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Aluminum Products, Other Metal & Mineral Products, Steel Products, Health Care Equipment, Pharmaceuticals",Stephen Noe,Zubin Avari,Mark Ullman,Paul Roughan,Doni Perl
Hanover Partners,333 Bush St Ste 2100,201 B Avenue Ste 270,San Francisco,CA,94104,US,"Application Software, Systems Software, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Communications Equipment, Automobile Manufacturers, Health Care Equipment, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Health Care Technology, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Life Sciences Tools & Services",Aaron Aiken,Vineet Varma,,,
"Rock Gate Partners, LLC","35 East Wacker Drive, Suite 3300",,Chicago,IL,60601,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Specialized Finance, Third Party Logistics (3PL), Trading Companies & Distributors, Air Freight & Logistics, Health Care Distributors, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Construction Materials, Health Care Equipment, Apparel, Accessories & Luxury Goods, Personal Products, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Research & Consulting Services, Marine Ports & Services, Commercial Printing, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Industrial Gases, Specialty Chemicals, Aluminum Products, Specialized Consumer Services, Wireless Telecommunication Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Specialty Stores, Housewares & Specialties, Leisure Products, Household Products, Personal Products, Brewers, Distillers & Vintners, Agricultural Products, Packaged Foods & Meats, Life Sciences Tools & Services",Niraj Singhvi,Carl Stickel,Carol Shah,Hitesh Kumar,Tracey Smith
Pleasant Bay Capital Partners,99 Summer Street,,Boston,MA,2110,US,"Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Auto Parts & Accessories, Tires & Rubber, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Consumer Electronics, Home Furnishings",James Vandervelden,Scott Fisher,Admin 1,,
MiddleGround Capital,"201 East Main Street, Suite 810",,Lexington,KY,40507,US,Auto Parts & Accessories,Graham Sparks,Andrew Dobson,Dyana Baurley,Zach Spencer,John Stewart
Granite Creek Capital Partners,"222 West Adams Street, Suite 3125",,Chicago,IL,60606,US,"Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Desiree Shafaie,Jordan Liss,Gino Piscopo,Jack Tresley,Nick Bell
Transom Capital Group,"100 N Pacific Coast Highway, Suite 1725",,El Segundo,CA,90245,US,"Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Apparel Retail, Computer & Electronics Retail, Home Improvement Retail, Specialty Stores, Automotive Retail, Homefurnishing Retail, Drug Retail, Food Retail, Hypermarkets & Super Centers, Retail Distributors, Catalog Retail, Internet Retail, Department Stores, General Merchandise Stores, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Zoe Schackel,Nick Giacco,Chris Baddon,Nishant Bubna,Ken Firtel
Hadley Capital,1200 Central Avenue Suite 300,"1005 17th Ave South, Floor 9",Wilmette,IL,60091,US,"Food Distributors, Trading Companies & Distributors, Technology Distributors, Health Care Distributors, Retail Distributors, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Alternative Carriers, Integrated Telecommunication Services, Wireless Telecommunication Services, Digital & Social Media, Broadcasting, Cable & Satellite, Publishing, Advertising, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Catalog Retail, Internet Retail, Pharmaceuticals, Nutraceuticals, Oil & Gas Equipment & Services, Payment Processors, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Auto Parts & Accessories, Tires & Rubber, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Financial Technology, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Household Products, Personal Products",Jason Kemeny,Paul Wormley,Georgeann Shenton,Marc Summe,Paul Wormley
Performant Capital,"150 N. Wacker Drive, Suite 1925",,Chicago,IL,60606,US,"Financial Technology, Internet Software & Services, Financial Technology, Data Processing & Outsourced Services, Payment Processors, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Health Care Technology, Application Software, Health Care Technology, IT Consulting & Other Services, Systems Software",Zack McCourt,Mike Ciaglia,Jeff Dillon,Chris McLaughlin,James Won
Presidio Investors,515 Congress Ave Ste 1985,,Austin,TX,78701,US,"Mortgage Banker, Mortgage Broker, Mortgage Processors & Servicers, Payday Lenders, Payment Processors, Insurance Brokers, Life & Health Insurance, Multi-line Insurance, Property & Casualty Insurance, Reinsurance, Diversified Banks, Regional Banks, Thrifts & S&Ls, Financial Technology, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Trucking, Health Care Distributors, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Education Services, Specialized Consumer Services, Alternative Carriers, Integrated Telecommunication Services, Wireless Telecommunication Services, Digital & Social Media, Broadcasting, Cable & Satellite, Movies & Entertainment, Publishing, Advertising, Health Care Services, Health Care Technology, Specialty Stores, Internet Retail, Other Diversified Financial Services, Multi-Sector Holdings, Specialized Finance, Asset Management & Custody Banks, Investment Banking & Brokerage, Diversified Capital Markets, Credit & Debit Card Issuers",Josef Auboeck,Victor Masaya,Jee Chang,Dirk Swaneveld,Barry Rudolph
Benford Capital Partners,"121 West Wacker, Suite 3600, Suite 3600",,Chicago,IL,60601,US,"Aerospace & Defense, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Machinery & Equipment, Electrical Components & Equipment, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Auto Parts & Accessories, Consumer Electronics, Home Furnishings, Specialized Consumer Services, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Aerospace & Defense, Industrial Machinery & Equipment, Apparel Retail, Specialty Stores, Automotive Retail, Apparel, Accessories & Luxury Goods, Food Retail, Hypermarkets & Super Centers, Catalog Retail, Internet Retail, Agricultural Products, Packaged Foods & Meats, Household Products, Personal Products",Brad Clarke,Nora Ulrey,Kelly Schaub,Michael Burdick,Edward Benford
Peak Rock Capital,"13413 Galleria Circle, Suite Q-300","Nova North, 11 Bressenden Place, Avenue Louise 149/24",Austin,TX,78738,US,"Aerospace & Defense, Building Products, Construction & Engineering, Electrical Components & Equipment, Heavy Electrical Equipment, Industrial Conglomerates, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Trading Companies & Distributors, Safety Equipment, Third Party Logistics (3PL), Air Freight & Logistics, Airlines, Marine Shipping, Railroads, Trucking, Airport Services, Highways & Railtracks, Marine Ports & Services, Diversified Real Estate Activities, Real Estate Operating Companies, Real Estate Development, Real Estate Services, Real Estate Investment Trusts (REITs), Third Party Logistics (3PL), Food Distributors, Trading Companies & Distributors, Technology Distributors, Air Freight & Logistics, Marine Shipping, Trucking, Health Care Distributors, Retail Distributors, Automobile Manufacturers, Motorcycle Manufacturers, Aerospace & Defense, Building Products, Heavy Electrical Equipment, Construction & Farm Machinery & Heavy Trucks, Industrial Machinery & Equipment, Electronic Manufacturing Services, Construction Materials, Health Care Equipment, Consumer Electronics, Computer Storage & Peripherals, Photographic Products, Apparel, Accessories & Luxury Goods, Textiles, Personal Products, Office Electronics, Auto Parts & Accessories, Paper Packaging, Health Care Supplies, Paper Products, Metal, Glass & Plastic Containers, Safety Equipment, Forest Products, Tires & Rubber, Electrical Components & Equipment, Computer Hardware, Computer Storage & Peripherals, Electronic Equipment & Instruments , Electronic Components, Electronic Manufacturing Services, Technology Distributors, Semiconductor Equipment , Semiconductors, Communications Equipment, Application Software, Systems Software, Home Entertainment Software, Financial Technology, Health Care Technology, Internet Software & Services, Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services, Forest Products, Paper Products, Construction Materials, Metal, Glass & Plastic Containers, Paper Packaging, Fertilizers & Agricultural Chemicals, Industrial Gases, Specialty Chemicals, Commodity Chemicals, Diversified Chemicals, Nonmetallic Mineral Mining & Quarrying, Aluminum Products, Metal Ore Mining, Gold Products, Other Metal & Mineral Products, Steel Products, Casino & Gaming Operators, Hotel, Resort & Cruise Line Operators, Leisure Facilities, Restaurants, Education Services, Specialized Consumer Services, Alternative Carriers, Integrated Telecommunication Services, Wireless Telecommunication Services, Digital & Social Media, Broadcasting, Cable & Satellite, Movies & Entertainment, Publishing, Advertising, Health Care Equipment, Health Care Supplies, Health Care Distributors, Health Care Services, Health Care Facilities, Managed Health Care, Health Care Technology, Consumer Electronics, Home Furnishings, Homebuilding, Household Appliances, Housewares & Specialties, Leisure Products, Photographic Products, Apparel, Accessories & Luxury Goods, Footwear, Textiles, Household Products, Personal Products, Brewers, Distillers & Vintners, Soft Drinks, Agricultural Products, Packaged Foods & Meats, Tobacco, Auto Parts & Accessories, Tires & Rubber, Biotechnology, Pharmaceuticals, Life Sciences Tools & Services, Nutraceuticals",Karson Chang,Johannes Hock,Ryan Fitch,Garret Iden,Nick Basso
Elvisridge Capital,"25201 Chagrin Blvd., Suite 300",,Beachwood,OH,44122,US,"Data Processing & Outsourced Services, Advertising, Payment Processors, Environmental & Facilities Services, Office Services & Supplies, Diversified Support Services, Security & Alarm Services, Human Resource & Employment Services, Research & Consulting Services, Airport Services, Marine Ports & Services, Commercial Printing, IT Consulting & Other Services",Melanie Barni,Kasey Southard,Scott Peckham,Jack Miller,Michael Southard
