Event,Fight,Bet,BetOnline,BetOnline Move,Bovada,Bovada Move,Pinnacle,Pinnacle Move,Betway,Betway Move,MyBookie,MyBookie Move,BetUS,BetUS Move,SXBet,SXBet Move,Jazz,Jazz Move,Cloudbet,Cloudbet Move,Unibet,Unibet Move,DraftKings,DraftKings Move,FanDuel,FanDuel Move,BetAnySports,BetAnySports Move
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Buzukia doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Matthews wins in round 2 - KO, TKO or DQ",1600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Matthews doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Buzukia wins in round 2 - KO, TKO or DQ",1100,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Buzukia doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Matthews wins in round 3 - KO, TKO or DQ",2000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Matthews doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Buzukia wins in round 3 - KO, TKO or DQ",1400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia","Buzukia doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins in round 1 - Submission,1300,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins in round 1 - Submission,2000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins in round 2 - Submission,1800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins in round 2 - Submission,2500,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews wins in round 3 - Submission,2200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Matthews doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia wins in round 3 - Submission,3300,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Buzukia doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Connor Matthews (scorecards = no action),105,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Connor Matthews , Dennis Buzukia",Dennis Buzukia (scorecards = no action),,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Andre Petroski,180,1,168,1,175,-1,163,-1,160,1,165,-1,180,1,167,-1,178,-1,165,1,180,1,164,0,160,0
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Jacob Malkoun,-210,-1,-200,1,-207,1,-200,0,-220,-1,-200,1,-194,1,-207,1,-201,1,-210,-1,-218,-1,-215,0,-210,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Fight ends in a Draw,6600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Fight doesn't end in a Draw,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Over 2.5 rounds,-180,-1,-190,-1,,,-188,0,-190,-1,-180,-1,-190,0,-187,0,-185,-1,,,-190,-1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Under 2.5 rounds,150,1,145,1,,,140,0,145,1,150,1,152,0,151,0,149,1,,,145,1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Fight goes the distance,-150,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Fight ends inside distance,120,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins inside distance,300,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins inside distance,260,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins by decision,400,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins by decision,120,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins by TKO/KO,750,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins by TKO/KO,425,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins by submission,600,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins by submission,650,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins in round 1,700,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins in round 1,500,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins in round 2,1100,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins in round 2,800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins in round 3,1800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins in round 3,1000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Petroski wins in round 1 - KO, TKO or DQ",1600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Petroski doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Malkoun wins in round 1 - KO, TKO or DQ",950,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Malkoun doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Petroski wins in round 2 - KO, TKO or DQ",2200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Petroski doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Malkoun wins in round 2 - KO, TKO or DQ",1250,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Malkoun doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Petroski wins in round 3 - KO, TKO or DQ",3000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Petroski doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Malkoun wins in round 3 - KO, TKO or DQ",1500,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun","Malkoun doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins in round 1 - Submission,1300,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins in round 1 - Submission,1400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins in round 2 - Submission,1800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins in round 2 - Submission,2000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski wins in round 3 - Submission,2500,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Petroski doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun wins in round 3 - Submission,2500,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Malkoun doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Andre Petroski (scorecards = no action),120,-1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Andre Petroski , Jacob Malkoun",Jacob Malkoun (scorecards = no action),-150,1,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Nate Landwehr,185,1,171,-1,174,1,163,-1,165,1,180,1,180,1,172,1,177,1,160,0,180,1,162,0,160,0
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Jamall Emmers,-220,-1,-210,-1,-205,-1,-200,1,-230,-1,-220,-1,-201,1,-212,-1,-200,-1,-200,0,-218,-1,-210,0,-220,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Fight ends in a Draw,6600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Fight doesn't end in a Draw,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Over 2.5 rounds,-140,1,-145,1,,,,,-140,1,-140,1,-138,1,-143,1,-139,1,,,-140,1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Under 2.5 rounds,110,-1,110,-1,,,,,110,-1,110,-1,112,-1,117,-1,113,-1,,,110,-1,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Fight goes the distance,-130,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Fight ends inside distance,100,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins inside distance,325,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins inside distance,215,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win inside distance,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins by decision,385,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins by decision,140,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win by decision,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins by TKO/KO,450,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins by TKO/KO,375,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win by TKO/KO,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins by submission,800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins by submission,800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win by submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins in round 1,700,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins in round 1,550,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win in round 1,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins in round 2,900,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins in round 2,700,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win in round 2,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins in round 3,1400,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins in round 3,1000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win in round 3,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Landwehr wins in round 1 - KO, TKO or DQ",1000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Landwehr doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Emmers wins in round 1 - KO, TKO or DQ",850,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Emmers doesn't win in round 1 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Landwehr wins in round 2 - KO, TKO or DQ",1300,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Landwehr doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Emmers wins in round 2 - KO, TKO or DQ",1100,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Emmers doesn't win in round 2 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Landwehr wins in round 3 - KO, TKO or DQ",2000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Landwehr doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Emmers wins in round 3 - KO, TKO or DQ",1500,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers","Emmers doesn't win in round 3 - KO, TKO or DQ",,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins in round 1 - Submission,1800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins in round 1 - Submission,1800,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win in round 1 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins in round 2 - Submission,2200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins in round 2 - Submission,2200,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win in round 2 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr wins in round 3 - Submission,3000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Landwehr doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers wins in round 3 - Submission,3000,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Emmers doesn't win in round 3 - Submission,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Nate Landwehr (scorecards = no action),145,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Nate Landwehr , Jamall Emmers",Jamall Emmers (scorecards = no action),-175,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Melissa Gatto , Viktoriya Dudakova",Melissa Gatto,-147,1,-157,-1,-157,-1,-163,-1,-160,1,-147,1,-156,1,-154,1,-154,-1,-157,-1,-155,-1,-162,0,-152,-1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Melissa Gatto , Viktoriya Dudakova",Viktoriya Dudakova,127,-1,129,-1,136,1,130,1,130,-1,117,-1,140,1,126,-1,138,1,125,1,130,1,126,0,122,1
UFC on ESPN 54: Blanchfield vs. Fiorot,"Melissa Gatto , Viktoriya Dudakova",Fight ends in a Draw,6600,0,,,,,,,,,,,,,,,,,,,,,,,,
UFC on ESPN 54: Blanchfield vs. Fiorot,"Melissa Gatto , Viktoriya Dudakova",Fight doesn't end in a Draw,,,,,,,,,,,,,,,,,,,,,,,,,,
